name,shape,nbits,ours_bit_density,bonsai_bit_density,ours_zero_scale_frac,bonsai_zero_scale_frac,ours_scale_mean,ours_scale_std,bonsai_scale_mean,bonsai_scale_std,ours_all0_group_frac,ours_all1_group_frac,bonsai_all0_group_frac,bonsai_all1_group_frac,fp16_weight_std,ours_deq_std,bonsai_deq_std,ours_rel_l2,bonsai_rel_l2,ours_cos_fp16,bonsai_cos_fp16
model.layers.12.mlp.gate_proj,6144x2048,12582912,0.5007128119468689,0.500771701335907,0.0,0.0,0.18193328380584717,0.04554149881005287,0.13985028862953186,0.023800302296876907,0.0,0.0,0.0,0.0,0.03483225777745247,0.09110706299543381,0.07093043625354767,1.960106611251831,1.7855989933013916,0.7645145654678345,0.4808456003665924
model.layers.12.mlp.up_proj,6144x2048,12582912,0.5000881552696228,0.5000626444816589,0.0,0.0,0.18561576306819916,0.0355018749833107,0.1654852330684662,0.019266370683908463,0.0,0.0,0.0,0.0,0.034952081739902496,0.09176988154649734,0.08330148458480835,1.972223162651062,2.077874183654785,0.7625073790550232,0.4956526458263397
model.layers.12.self_attn.k_proj,1024x2048,2097152,0.5022554397583008,0.5000133514404297,0.0,0.0,0.16774404048919678,0.057378314435482025,0.09031277894973755,0.02148963138461113,0.0,0.0,0.0,0.0,0.032203782349824905,0.08571407943964005,0.04641713574528694,2.0167319774627686,1.2353445291519165,0.75461745262146,0.5381845831871033
model.layers.12.self_attn.o_proj,2048x2048,4194304,0.4999673366546631,0.5000367164611816,0.0,0.0,0.1536954939365387,0.04010364040732384,0.11312434077262878,0.024075299501419067,0.0,0.0,0.0,0.0,0.029922254383563995,0.07766120880842209,0.05782892182469368,1.9313576221466064,1.5783134698867798,0.771765410900116,0.5805585384368896
model.layers.12.self_attn.q_proj,2048x2048,4194304,0.5008790493011475,0.49985623359680176,0.0,0.0,0.17726530134677887,0.06065317988395691,0.08467162400484085,0.021229734644293785,0.0,0.0,0.0,0.0,0.03469405323266983,0.0910094752907753,0.04364626482129097,1.9695031642913818,1.1096956729888916,0.762854814529419,0.5370379686355591
model.layers.12.self_attn.v_proj,1024x2048,2097152,0.5012154579162598,0.499971866607666,0.0,0.0,0.1798902302980423,0.027858588844537735,0.13668674230575562,0.01233580056577921,0.0,0.0,0.0,0.0,0.03333939239382744,0.08843287825584412,0.06862112879753113,2.0035505294799805,1.664130687713623,0.7580706477165222,0.5993167757987976
model.layers.13.mlp.down_proj,2048x6144,12582912,0.500463604927063,0.5000773668289185,0.0,0.0,0.17979690432548523,0.035576824098825455,0.10632988065481186,0.014863383956253529,0.0,0.0,0.0,0.0,0.03263884037733078,0.08831222355365753,0.05368184670805931,2.067683696746826,1.383072853088379,0.7476191520690918,0.5448403358459473
model.layers.13.mlp.gate_proj,6144x2048,12582912,0.5003516674041748,0.4999570846557617,0.0,0.0,0.17693917453289032,0.04775873199105263,0.14245671033859253,0.02271670289337635,0.0,0.0,0.0,0.0,0.03363732621073723,0.08874217420816422,0.0721282884478569,1.9890153408050537,1.877217411994934,0.7588391304016113,0.4836203157901764
model.layers.13.mlp.up_proj,6144x2048,12582912,0.5006780624389648,0.4999314248561859,0.0,0.0,0.1810014694929123,0.034032437950372696,0.1650203913450241,0.018718767911195755,0.0,0.0,0.0,0.0,0.034040410071611404,0.08952836692333221,0.08303932845592499,1.9760141372680664,2.136397361755371,0.7628323435783386,0.4891795217990875
model.layers.13.self_attn.k_proj,1024x2048,2097152,0.5024433135986328,0.5002174377441406,0.0,0.0,0.15944817662239075,0.053387850522994995,0.08413349837064743,0.017344586551189423,0.0,0.0,0.0,0.0,0.03069903329014778,0.08134989440441132,0.04295136779546738,2.0027871131896973,1.2245649099349976,0.7568188905715942,0.5210281014442444
model.layers.13.self_attn.o_proj,2048x2048,4194304,0.49974513053894043,0.49980926513671875,0.0,0.0,0.1492786407470703,0.03892200440168381,0.11196105182170868,0.023874787613749504,0.0,0.0,0.0,0.0,0.02906082384288311,0.0754302442073822,0.057239145040512085,1.931262731552124,1.6105279922485352,0.7719526886940002,0.5802232623100281
model.layers.13.self_attn.q_proj,2048x2048,4194304,0.49959826469421387,0.5000240802764893,0.0,0.0,0.17420369386672974,0.07293202728033066,0.08226831257343292,0.023608587682247162,0.0,0.0,0.0,0.0,0.035038117319345474,0.09178982675075531,0.04279439151287079,1.9641609191894531,1.072371244430542,0.7643911242485046,0.5492849946022034
model.layers.13.self_attn.v_proj,1024x2048,2097152,0.4986724853515625,0.5002932548522949,0.0,0.0,0.17719091475009918,0.0270623117685318,0.13750901818275452,0.011407341808080673,0.0,0.0,0.0,0.0,0.03321962058544159,0.08738625794649124,0.06899067014455795,1.9770184755325317,1.681685209274292,0.7624350190162659,0.59828782081604
model.layers.14.mlp.down_proj,2048x6144,12582912,0.5007633566856384,0.49993085861206055,0.0,0.0,0.18003183603286743,0.03559079021215439,0.10546404123306274,0.01461219321936369,0.0,0.0,0.0,0.0,0.03241031989455223,0.0880800113081932,0.053235750645399094,2.084827423095703,1.3906993865966797,0.7431300282478333,0.5369510054588318
model.layers.14.mlp.gate_proj,6144x2048,12582912,0.5002982020378113,0.500403106212616,0.0,0.0,0.17092886567115784,0.04787074774503708,0.14526836574077606,0.023356961086392403,0.0,0.0,0.0,0.0,0.03218766674399376,0.08565620332956314,0.07356703281402588,2.0188300609588623,2.0025253295898438,0.7526904940605164,0.4842795729637146
model.layers.14.mlp.up_proj,6144x2048,12582912,0.5000669360160828,0.4999864995479584,0.0,0.0,0.17693141102790833,0.03445742651820183,0.16780120134353638,0.01995157077908516,0.0,0.0,0.0,0.0,0.0329822413623333,0.08733895421028137,0.08449158072471619,1.9994112253189087,2.2516531944274902,0.7580228447914124,0.48649096488952637
model.layers.14.self_attn.k_proj,1024x2048,2097152,0.5038199424743652,0.4997563362121582,0.0,0.0,0.15878328680992126,0.0620320625603199,0.08659958839416504,0.022590549662709236,0.0,0.0,0.0,0.0,0.030472593382000923,0.08192764967679977,0.04474879056215286,2.0541951656341553,1.2721606492996216,0.7455313205718994,0.5236932039260864
model.layers.14.self_attn.o_proj,2048x2048,4194304,0.5002539157867432,0.5001683235168457,0.0,0.0,0.14854133129119873,0.0410703606903553,0.10968436300754547,0.023904157802462578,0.0,0.0,0.0,0.0,0.029079459607601166,0.07541153579950333,0.056129466742277145,1.9273881912231445,1.5762439966201782,0.7732138633728027,0.5805495381355286
model.layers.14.self_attn.q_proj,2048x2048,4194304,0.5012750625610352,0.49979686737060547,0.0,0.0,0.17175650596618652,0.06844578683376312,0.08220179378986359,0.023338913917541504,0.0,0.0,0.0,0.0,0.03389068692922592,0.08959662914276123,0.042725395411252975,1.9944500923156738,1.1130081415176392,0.7586560845375061,0.5356359481811523
model.layers.14.self_attn.v_proj,1024x2048,2097152,0.5012235641479492,0.5001683235168457,0.0,0.0,0.17406731843948364,0.027352049946784973,0.13850030303001404,0.012736819684505463,0.0,0.0,0.0,0.0,0.03238684684038162,0.08582234382629395,0.06954235583543777,1.9996037483215332,1.7414278984069824,0.7592024207115173,0.6003216505050659
model.layers.15.mlp.down_proj,2048x6144,12582912,0.49957722425460815,0.4999847412109375,0.0,0.0,0.17986565828323364,0.03653378039598465,0.10822759568691254,0.014919335022568703,0.0,0.0,0.0,0.0,0.032550688832998276,0.0880851149559021,0.05462553724646568,2.0710017681121826,1.4246702194213867,0.745333194732666,0.5322957634925842
model.layers.15.mlp.gate_proj,6144x2048,12582912,0.4998799264431,0.5006622672080994,0.0,0.0,0.1727907657623291,0.05007946491241455,0.14993011951446533,0.02467808499932289,0.0,0.0,0.0,0.0,0.03239541873335838,0.08653721958398819,0.07597368955612183,2.033257484436035,2.058670997619629,0.7490031123161316,0.4822263717651367
